Name,ISIN,TF_Indication,Symbol
Acme United Corp,US0048161048,DI,ACU
PlayAGS Inc,US72814N1046,DI,AGS
Bakkt Hldgs Inc,US05759B1070,DI,BKKT
BIT Mining Limited,US0554741001,EI,BTCM
Viant Technology,US92557A1016,DI,DSP
Energy Services of America Corp,US29271Q1031,DI,ESOA
Friedman Ind,US3584351056,DI,FRD
L.B. Foster Company,US3500601097,DI,FSTR
Heritage Insurance Hlgs,US42727J1025,DI,HRTG
Iczoom Grp,KYG4760B1005,DI,IZM
Kewaunee Scientific Corp.,US4928541048,DI,KEQU
Lifevantage Corp,US53222K2050,DI,LFVN
Marketwise Inc,US57064P1075,DI,MKTW
Manitex Intl,US5634201082,DI,MNTX
Matrix Service Co,US5768531056,DI,MTRX
NN Inc,US6293371067,DI,NNBR
Orion Group Hldgs Inc (Orion Marine),US68628V3087,DI,ORN
Patriot Transportation Holding,US70338W1053,DI,PATI
RCM Tech,US7493604000,DI,RCMT
The RealReal Inc.,US88339P1012,DI,REAL
Stronghold Digital Mining,US86337R1032,DI,SDIG
TAT Technologies,US8754651060,DI,TATT
Twin Disc Inc,US9014761012,DI,TWIN
Ultralife Corp,US9038991025,DI,ULBI
Universal Stainless&Alloy,US9138371003,DI,USAP
Virco Manufacturing Corp,US9276511097,DI,VIRC
Yirendai Ltd. (ADRs),US98585L1008,DI,YRD
