Name,ISIN,TF_Indication,Symbol,Symbol_PortfVis
11 88 0 Solutions AG,DE0005118806,EI,,
11 bit studios S.A.,PL11BTS00015,EI,,
1st Source Corp,US3369011032,DI,SRCE,
2G energy AG,DE000A0HL8N9,EI,,
3D Systems,US88554D2053,DI,DDD,
3M Co.,US88579Y1010,DI,MMM,
A-Mark Precious Metals Inc.,US00181T1079,DI,AMRK,
A.O. Smith Corp.,US8318652091,DI,AOS,
A.P. Moeller-Maersk AS,DK0010244508,DKI,,AMKBY
Aalberts Industries N.V.,NL0000852564,EI,,AALBF
AAON Inc.,US0003602069,DI,AAON,
Aarons Co Inc (The),US00258W1080,DI,AAN,
AB Industrivärden,SE0000107203,SKI,,
ABB Ltd,CH0012221716,CHI,ABB,
Abbott Lab,US0028241000,DI,ABT,
Abbvie,US00287Y1091,DI,ABBV,
ABC-Mart,JP3152740001,EI,,
Abercrombie & Fitch,US0028962076,DI,ANF,
ABN Amro,NL0011540547,EI,,AAVMY
ABOUT YOU Holding SE,DE000A3CNK42,EI,,
Acadia Healthcare,US00404A1097,DI,ACHC,
Accenture,IE00B4BNMY34,EI,ACN,
Acciona S.A.,ES0125220311,EI,,
Accor S.A.,FR0000120404,EI,ACCYY,
Acerinox S.A.,ES0132105018,EI,,ANIOY
Acme United Corp,US0048161048,DI,ACU,
Addtech AB,SE0014781795,SKI,,
Adecco,CH0012138605,CHI,,AHEXY
Adeka,JP3114800000,EI,,
Adesso,DE000A0Z23Q5,EI,,
adidas AG,DE000A1EWWW0,EI,,ADDYY
Adient PLC,IE00BD845X29,EI,ADNT,
Adobe,US00724F1012,DI,ADBE,
Adtran Networks SE,DE0005103006,EI,,
Advance Auto Parts Inc.,US00751Y1064,DI,AAP,
Advanced Micro Devices Inc.,US0079031078,DI,AMD,
Advantest,JP3122400009,DI,,ATEYY
Adyen B.V.,NL0012969182,EI,,ADYEY
AEON,JP3388200002,DI,,AONNY
AEON Mall,JP3131430005,EI,,
AerCap Holdings N.V.,NL0000687663,EI,AER,
Aerojet Rocketdyne Holdings Inc.,US0078001056,DI,AJRD,
Affiliated Managers Group,US0082521081,DI,MGR,
Affirm Holdings Inc.,US00827B1061,DI,AFRM,
Africa Energy Corp.,CA00830W1059,DI,AFE,
Africa Oil Corp,CA00829Q1019,DI,AOI,
Afry AB,SE0005999836,SKI,,
Agco Corp,US0010841023,DI,AGCO,
Agco Corp,US0010841023,DI,AGCO,
Agilent Technologies Inc.,US00846U1016,DI,A,
Agilysys,US00847J1051,DI,AGYS,
Agree Realty Corp.,US0084921008,DI,ADC,
AIA Group,HK0000069689,DI,,AAGIY
Aico Kogyo,JP3100800006,EI,,
Air Liquide SA,FR0000120073,EI,,AIQUY
Air Products and Chemicals,US0091581068,DI,APD,
Air Water,JP3160670000,EI,,
AirBnB,US0090661010,DI,ABNB,
Airbus SE,NL0000235190,EI,,EADSY
Airports of Thailand PCL (NVDRs),TH0765010R16,DI,,AIPUY
Aixtron SE,DE000A0WMPJ6,EI,,
Akamai Tech,US00971T1016,DI,AKAM,
Aker Carbon Capture AS,NO0010890304,NKI,,
Albemarle Corp,US0126531013,DI,ALB,
Albertsons Companies Inc.,US0130911037,DI,ACI,
Alcoa Corp.,US0138721065,DI,AA,
Alexandria Real Estate Equities Inc.,US0152711091,DI,ARE,
Alfen N.V.,NL0012817175,EI,,
Alibaba,US01609W1027,DI,BABA,
Align Technology,US0162551016,DI,ALGN,
Alimentation Couche-Tard,CA01626P4033,DI,,ATD:CA
Alliance Resource,US01877R1086,DI,ARLP,
Alliant Energy Corp.,US0188021085,DI,LNT,
Allianz SE,DE0008404005,EI,,ALIZY
Allison Transmission Holdings Inc.,US01973R1014,DI,ALSN,
Allkem FPO,AU0000193666,DI,,AKE:CA
Allstate Corp  (The),US0200021014,DI,ALL,
Ally Financial,US02005N1000,DI,ALLY,
Alpha Mettalurgical Resources,US0207641061,DI,AMR,
Alphabet,US02079K1079,DI,GOOGL,
Alstom S.A.,FR0010220475,EI,,ALSMY
Alstria Office REIT-AG,DE000A0LD2U1,EI,,
Altisource Asset Management,LU0445408270,EI,ASPS,
Altria,US02209S1033,DI,MO,
Aluflexpack AG,CH0453226893,CHI,,
Alzchem Grp AG,DE000A2YNT30,EI,,
Amalgamated Financial Corp,US0226711010,DI,AMAL,
Amazon,US0231351067,DI,AMZN,
Ambarella,KYG037AX1015,DI,AMBA,
Amcor,JE00BJ1F3079,GPI,AMCR,
Amdocs Ltd.,GB0022569080,GPI,DOX,
American Airlines,US02376R1023,DI,AAL,
American Electric Power Co. Inc.,US0255371017,DI,AEP,
American Express,US0258161092,DI,AXP,
American Intl. Group,US0268747849,DI,AIG,
American States Water,US0298991011,DI,AWR,
American States Water Co.,US0298991011,DI,AWR,
American Tower,US03027X1000,DI,AMT,
American Water Works,US0304201033,DI,AWK,
Ameris Bancorp,US03076K1088,DI,ABCB,
Amerisafe  Inc,US03071H1005,DI,AMSF,
Amgen,US0311621009,DI,AMGN,
Amphenol Corp.,US0320951017,DI,APH,
ams-OSRAM AG,AT0000A18XM4,EI,,
ANA Hldgs,JP3429800000,DI,,ALNPY
Analog Devices,US0326541051,DI,ADI,
Anglo American Platinum Ltd. (ADRs),ZAE000013181,DI,,ANGPY
Anglo American PLC,GB00B1XZS820,GPI,,NGLOY
AngloGold Ashanti,US03486T2024,DI,AU,
Anheuser-Busch InBev N.V./S.A.,BE0974293251,EI,BUD,
Ansys,US03662Q1058,DI,ANSS,
Anta Sports Products Ltd.,KYG040111059,EI,,ANPDY
Antero Midstream Corp,US03676B1026,DI,AM,
Antin Infrastructure Partners SAS,FR0014005AL0,EI,,
Aon PLC,IE00BLP1HW54,EI,AON,
APA Corp,US03743Q1085,DI,APA,
Aperam S.A.,LU0569974404,EI,,
APi Group Corp,US00187Y1001,DI,,
Apollo Global Management(New.) ,US03769M1062,DI,APO,
Apple Inc.,US0378331005,DI,AAPL,
Applied Materials Inc.,US0382221051,DI,AMAT,
Applied Optoelectronics Inc.,US03823U1025,DI,AAOI,
Aramark,US03852U1060,DI,ARMK,
Aramis Group SAS,FR0014003U94,EI,,
ArcelorMittal S.A. (ADRs),US03938L2034,DI,MT,
Arch Capital Group Ltd.,BMG0450A1053,DI,ACGL,
Ares Capital Corp.,US04010L1035,DI,ARCC,
Aris Mining Corp. ,CA04040Y1097,DI,,
Arista Networks,US0404131064,DI,ANET,
Arkema S.A.,FR0010313833,EI,,ARKAY
ARM Holdings PLC (ADRs),US0420682058,DI,ARM,
Array Technologies Inc.,US04271T1007,DI,ARRY,
Arrow Electronics Inc.,US0427351004,DI,ARW,
Asahi Kasei Corp.,JP3111200006,DI,,AHKSY
Ascendis Pharma A/S (ADRs),US04351P1012,DI,ASND,
Ashland Gobal Holdings Inc.,US0441861046,DI,ASH,
ASM International N.V.,NL0000334118,EI,,ASMIY
ASML,NL0010273215,EI,ASML,
ASR Nederland N.V.,NL0011872643,EI,,
Assa Abloy AB,SE0007100581,SKI,,ASAZY
Assurant,US04621X1081,DI,AIZ,
Assystem S.A.,FR0000074148,EI,,
AstraZeneca PLC,GB0009895292,GPI,AZN,
AT & S Austria Technologie & Systemtechnik AG,AT0000969985,EI,,
AT & T Inc.,US00206R1023,DI,T,
Atlanta Braves,,,,
Atlantic American Corp,US0482091008,DI,AAME,
Atlas Copco AB,SE0017486889,SKI,,ATLKY
Atlas Engineered Products,CA0493041085,DI,,AEP:CA
Atlassian,US0494681010,DI,TEAM,
Atmos Energy Corp.,US0495601058,DI,ATO,
Atos,FR0000051732,EI,,AEXAY
Atoss Software AG,DE0005104400,EI,,
Atresmedia S.A.,ES0109427734,EI,,
Aurelius SE,DE000A0JK2A8,EI,,
Aurubis AG,DE0006766504,EI,,AIAGY
Autodesk Inc.,US0527691069,DI,ADSK,
Automatic Data Processing,US0530151036,DI,ADP,
Autozone Inc.,US0533321024,DI,AZO,
Avis Budget Group,US0537741052,DI,CAR,
AXA S.A.,FR0000120628,EI,,
Axon Enterprise,US05464C1018,DI,AXON,
Axway Software Actions Port.,FR0011040500,EI,,
B. Riley Financial,US05580M1080,DI,RILY,
B&S Group SA,LU1789205884,EI,,
Baader Bank AG,DE0005088108,EI,,
BAE Systems,GB0002634946,GPI,,BAESY
Baidu.com (ADRs),US0567521085,DI,BIDU,
Baker Hughes Co.,US05722G1004,DI,BKR,
Bakkt Hldgs Inc,US05759B1070,DI,BKKT,
Bank of America,US0605051046,DI,BAC,
Bank of China (Hongkong) Ltd.,HK2388011192,EI,,BACHY
Bank of Chongqing Co. Ltd.,CNE100001QN2,EI,,
Bank of New York Mellon,US0640581007,DI,BK,
Baozun Inc. (ADRs),US06684L1035,DI,BZUN,
Barclays PLC,GB0031348658,GPI,BCS,
Barrick Gold Corp.,CA0679011084,DI,GOLD,
BASF SE,DE000BASF111,EI,,BASFY
bath and body work,US0708301041,DI,BBWI,
Bayer AG,DE000BAY0017,EI,,BAYRY
Bayr Motoren Werke (BMW),DE0005190003,EI,,BMWYY
Baywa AG,DE0005194062,EI,,
BB Biotech,CH0038389992,CHI,,
